id,name,capacity
00963, 대호프라자아파트,13
00964, 북한산힐스테이트 7차아파트,10
00965, 서울특별시 은평병원,10
00966, 서울혁신파크1,10
00967, 서울혁신파크2,13
00968, 은평뉴타운 상림마을 13단지,7
00969, 은평 지웰테라스,9
00971, 역촌 센트레빌 아파트,20
00973,제각말푸르지오 5-1단지 아파트,10
00974,연신초등학교옆 마을마당,10
00975,백련산 힐스테이트상가앞,10
00976,진관고등학교앞,10
00977,신도중학교앞,10
00978,녹번 힐스테이트상가앞,10
00979,원풍빌라앞,10
00982, 녹번초등학교(서오릉로),10
00984,상신초등학교앞 버스정류장,9
00985, 은평세무서 버스정류장(은평구청 방면),10
00989, 신응교(가좌로) 앞,10
00991,흥국사 정류장,10
00992,북한산입구 정류장,10
00993,은평뉴타운 은뜨락아파트앞,15
00994,북한산생태공원입구(교통섬),10
00995,은평다목적체육관,10
00996,응암역2번출구 국민은행 앞,10
01001, 광진교 남단 사거리(천호공원 방면),15
01002, 해공공원(천호동),10
01003, 해공도서관앞,20
01004, 삼성광나루아파트 버스정류장,10
01006, 롯데캐슬 115동앞,10
01007,암사동 선사유적지,14
01008, 암사역 3번출구(국민은행앞),9
01009, 천호역4번출구(현대백화점),20
01010, 강동세무서,20
01011, LIGA 아파트 앞,20
01012,천호역효성해링턴타워 앞,15
01013, 강동구청역 1번 출입구,15
01015, 샛마을 근린공원,13
01016, 해뜨는 주유소옆 리엔파크 109동앞,10
01017, 둔촌고교입구 교차로(길동주민센터 방면),20
01018, 둔촌 주공 GS 맞은편,15
01019, 다성이즈빌아파트(호원대 대각선 맞은편),10
01020, 강동경찰서,15
01021, 강일동 리슈빌 빌딩앞,15
01022, 길동 사거리(초소앞),20
01023, 한국종합기술사옥 앞,22
01024, 강동구청 앞,10
01025, 상일초등학교,10
01026, 대명초교 입구 교차로,14
01027, 프라자 아파트 앞,20
01028, 포레스 주상복합 빌딩,10
01029, 성내어울터,7
01030, 미호 플랜트 앞,15
01031, 올림픽로 836(아리수로),15
01032, 선사고등학교,20
01033, 고덕동 아남아파트,17
01034, 고덕동 래미안 힐스테이트,10
01035, 고덕역 4번출구,25
01036, 고덕동 주양쇼핑,10
01037, 강일리버파크 6단지,10
01038, 강일 다솜 어린이 공원,10
01039, 고덕초등학교,7
01041, 묘곡초등학교,10
01042, 강일리버파크 2~5단지,10
01044, 굽은다리역,15
01048, 둔촌어린이공원,13
01049, 강일리버파크 10단지,10
01050, 둔촌역 3번 출입구,15
01051," 강일중,선사고 버스정류장(신암중학교 방면)",15
01053, 동명근린공원 진입로 (아리수로),11
01056, 강일리버파크 7~11단지,10
01057, 능골근린공원,15
01058, 고덕숲 아이파크 1,12
01059, 래미안 강동팰리스(102동),15
01060, 천일초교 사거리,6
01061, 천호초교 입구 사거리(일주빌딩),8
01063,강동롯데캐슬퍼스트 아파트(관리동),10
01064,중앙보훈병원역 1번출구,10
01065,보훈병원 후문옆(더 원커피),10
01066,생태공원앞 교차로(조명탑),10
01067,한영중고앞사거리,10
01068,명일파출소,10
01070,(시립)고덕평생학습관,10
01072,고덕역 5번출구,22
01073, SSTS 몰 앞,7
01074,대명초교입구 사거리,15
01075,천동초교 삼거리,10
01076, 천동초교입구사거리 버스정류장(십자성마을 방면),10
01077,강동역 1번출구 앞,15
01078,둔촌사거리,25
01079,강일동입구교차로,10
01080,엘웨딩,10
01081,트레빌빌딩,20
01083,광문고교사거리(아이파크),15
01084, 윤선생빌딩(JYP사옥),20
01085,래미안 솔베뉴(고덕로),20
01086,래미안 솔베뉴(구천면로),10
01088,풍납사거리(강동),12
01089,고덕 래미안힐스테이트(201동),10
01090,상일동역 2번출구 앞,17
01101,상사마을 버스정류장(아라대교방면),10
01102, 방화사거리 마을버스 버스정류장,10
01103, 방화역 4번출구앞,10
01105, 방화근린공원,10
01106, 신방화사거리,10
01108, 공항시장역 2번출구 뒤,8
01109, 공항시장역 4번출구,6
01110, 공항중학교앞,15
01111, 마곡엠밸리6_7단지 마곡중학교,20
01112, 마곡엠밸리4단지 정문,15
01113, 서남환경공원 버스정류장,15
01117, 등촌5단지아파트 버스정류장,10
01118, 증미역 3번출구뒤(등촌두산위브센티움오피스텔),10
01119, 염창동 한마음아파트 앞,6
01120, 대림경동아파트앞,25
01121, 가양레포츠센터 앞,15
01124, 발산역 6번 출구 뒤,6
01126, 우장산역 1번출구옆(우장산아이파크105동앞),7
01127, 화곡역 버스정류장,10
01128, 화곡역 6번출구,10
01129, 화곡역 1번 출구 앞,7
01130, 화곡본동시장 버스정류장,7
01132, 등촌역 7번출구,10
01135, 강서구의회,16
01136, 등촌2파출소,8
01137, 등촌2동주민센터,10
01139, 용문사 버스정류장,8
01140, 목동사거리 버스정류장,17
01141, 곰달래 문화복지센터 A,20
01145, 곰달래 문화복지센터 B,10
01148, 볏골공원,10
01149, 신방화역환승주차장,13
01150, 송정역 1번출구,7
01151, 마곡역1번출구,25
01152, 마곡역교차로,30
01153," 발산역 1번, 9번 인근 대여소",32
01155, 기쁜우리복지관,10
01157, 강서구청,8
01158, 가양역 8번출구,20
01159, 서서울모터리움 앞,20
01160, 양천향교역 7번출구앞,20
01161, 강서면허시험장 앞,10
01162, 공항초등학교건너편,10
01163, 방화동강서기동대앞,10
01165, 마곡중학교 후문,20
01166, 강서구립등빛도서관,10
01167, 마곡수명산파크3단지 교차로,15
01168, 마곡엠밸리10단지 앞,14
01169, 염창역 1번 출구,8
01170, 강서구보건소,11
01171, 염창동 새마을금고 건너편,8
01172, 가양3동 주민센터,8
01173, 강서구청사거리(SH타워),15
01174, 강서구청사거리(부민병원),9
01175, 대한항공 인력개발센터,15
01177, 수명중?고교,15
01178, 개화산역 2번 출구,10
01180, 마곡엠밸리 15단지(1502동) 건너편,15
01181, 농수산식품공사 (강서지사),10
01182, KBS 스포츠월드,20
01183, KC 대학교,10
01184, 마곡13단지,26
01185, 등촌9단지,20
01186, 송정중학교,15
01187, 강서수산물도매시장,15
01188, 롯데중앙연구소,8
